,Date,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,1618704343,torbay,CA,47.6666,-52.7314,35.01,100,90,13.8
1,1618704310,chokurdakh,RU,70.6333,147.9167,17.11,86,100,5.21
2,1618704054,busselton,AU,-33.65,115.3333,62.28,69,0,7.07
3,1618704658,isangel,VU,-19.55,169.2667,82.4,78,75,8.05
4,1618704328,high level,CA,58.5169,-117.136,44.6,49,75,10.36
5,1618704775,college,US,64.8569,-147.8028,53.6,37,1,8.05
6,1618704827,juneau,US,58.3019,-134.4197,69.8,28,40,9.22
7,1618704642,bambous virieux,MU,-20.3428,57.7575,77.0,94,75,5.75
8,1618704675,katsuura,JP,35.1333,140.3,64.99,45,20,27.63
9,1618704316,butaritari,KI,3.0707,172.7902,82.42,76,98,6.73
10,1618704795,talnakh,RU,69.4865,88.3972,-20.58,93,65,1.61
11,1618704616,avarua,CK,-21.2078,-159.775,82.4,69,40,9.22
12,1618704682,kodiak,US,57.79,-152.4072,42.8,81,90,4.61
13,1618704294,albany,US,42.6001,-73.9662,46.0,73,99,3.85
14,1618704829,axim,GH,4.8699,-2.2405,80.6,81,61,7.63
15,1618704830,bacolod,PH,10.6667,122.95,80.71,73,100,14.27
16,1618704637,egvekinot,RU,66.3167,-179.1667,28.0,98,100,13.73
17,1618704726,tiksi,RU,71.6872,128.8694,6.96,86,100,11.61
18,1618704261,cape town,ZA,-33.9258,18.4232,69.01,88,0,4.61
19,1618704551,palmer,US,42.1584,-72.3287,44.01,77,100,2.37
20,1618704831,boralday,KZ,43.3578,76.8594,48.2,71,40,2.24
21,1618704832,kindberg,AT,47.5,15.45,39.0,66,100,2.84
22,1618704832,south lake tahoe,US,38.9332,-119.9844,60.8,19,1,13.8
23,1618704833,san pedro de cajas,PE,-11.2511,-75.8617,42.28,87,87,5.14
24,1618704297,rikitea,PF,-23.1203,-134.9692,77.58,66,63,5.03
25,1618704149,punta arenas,CL,-53.15,-70.9167,50.0,71,75,5.75
26,1618704703,airai,TL,-8.9266,125.4092,67.28,65,87,3.4
27,1618704834,safut,JO,32.0336,35.8332,69.8,37,15,5.5
28,1618704178,mataura,NZ,-46.1927,168.8643,55.99,82,98,5.01
29,1618704012,thompson,CA,55.7435,-97.8558,30.2,69,90,14.97
30,1618704542,ancud,CL,-41.8697,-73.8203,53.6,94,100,9.22
31,1618704318,hobart,AU,-42.8794,147.3294,62.01,58,75,10.36
32,1618704535,korla,CN,41.7597,86.1469,60.26,26,96,11.03
33,1618704303,port elizabeth,ZA,-33.918,25.5701,53.6,94,0,6.29
34,1618704837,zhezkazgan,KZ,47.8043,67.7144,55.09,39,93,6.55
35,1618704628,bredasdorp,ZA,-34.5322,20.0403,48.2,93,0,6.91
36,1618704653,lorengau,PG,-2.0226,147.2712,83.05,71,89,11.03
37,1618704322,arraial do cabo,BR,-22.9661,-42.0278,77.0,83,40,18.41
38,1618704732,narasannapeta,IN,18.4167,84.05,78.13,87,0,5.61
39,1618704838,longido,TZ,-2.7333,36.6833,62.51,93,56,7.09
40,1618704760,fort frances,CA,48.5999,-93.4003,53.6,28,1,10.36
41,1618704255,ushuaia,AR,-54.8,-68.3,53.6,54,40,9.22
42,1618704339,hermanus,ZA,-34.4187,19.2345,69.01,34,0,7.09
43,1618704312,port alfred,ZA,-33.5906,26.891,65.28,60,34,12.5
44,1618704605,fairbanks,US,64.8378,-147.7164,53.6,30,1,9.22
45,1618704840,bontang,ID,0.1333,117.5,74.28,89,100,9.51
46,1618704329,yellowknife,CA,62.456,-114.3525,35.6,64,75,10.36
47,1618704452,cherskiy,RU,68.75,161.3,27.3,69,16,28.48
48,1618704304,leningradskiy,RU,69.3833,178.4167,34.84,84,97,8.75
49,1618704308,new norfolk,AU,-42.7826,147.0587,62.01,77,100,5.01
50,1618704761,marawi,PH,7.9986,124.2928,78.01,89,100,5.01
51,1618704841,chaiya,TH,9.3862,99.1986,82.99,94,20,3.44
52,1618704842,tamandare,BR,-8.7597,-35.1047,76.26,89,76,5.35
53,1618704842,ranot,TH,7.7777,100.3213,81.43,74,100,4.38
54,1618704843,bulalacao,PH,12.3254,121.3435,81.34,69,100,8.41
55,1618704843,porgera,PG,-5.4667,143.2,45.41,99,100,2.71
56,1618704661,avera,US,33.194,-82.5271,71.6,46,40,3.44
57,1618704844,shieli,KZ,44.1667,66.75,61.57,38,57,3.56
58,1618704331,saskylakh,RU,71.9167,114.0833,7.21,93,100,12.33
59,1618704344,upernavik,GL,72.7868,-56.1549,5.7,88,100,6.73
60,1618704845,mahendragarh,IN,28.2833,76.15,72.34,41,0,3.4
61,1618704210,jamestown,US,42.097,-79.2353,42.8,70,75,10.36
62,1618704127,kapaa,US,22.0752,-159.319,75.0,64,75,14.97
63,1618704319,faanui,PF,-16.4833,-151.75,82.35,73,79,8.72
64,1618704846,honiara,SB,-9.4333,159.95,84.78,74,82,5.17
65,1618704303,lebu,CL,-37.6167,-73.65,55.27,91,85,1.54
66,1618704847,tucurui,BR,-3.7661,-49.6725,75.04,93,97,1.59
67,1618704781,padang,ID,-0.9492,100.3543,71.6,94,20,2.3
68,1618704341,koslan,RU,63.4564,48.8989,26.46,74,37,8.14
69,1618704848,yazman,PK,29.1212,71.7446,78.4,30,0,5.64
70,1618704799,berlevag,NO,70.8578,29.0864,36.32,84,30,13.09
71,1618704849,rechitsy,RU,55.5978,38.4639,48.2,34,0,8.95
72,1618704849,matai,TZ,-8.3,31.5167,59.25,94,96,8.01
73,1618704408,saint george,US,37.1041,-113.5841,64.99,19,1,18.41
74,1618704850,puerto carreno,CO,6.189,-67.4859,84.49,65,93,5.08
75,1618704731,krasnyy chikoy,RU,50.3643,108.7512,34.93,71,100,10.42
